Nome_da_Escola;Tipo_de_Ensino;Municipio;Diretoria_de_Ensino;Rede_de_Ensino;Endereco_Completo;Bairro;CEP;ZONA;Telefones;Email
JONAS GOMES DE SOUZA ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA SILVESTRE DANTAS, 000138 - RUA;CIPO GUACU;6900;Urbana;(011) 0000000-0000 / (011) 0004664-8787;PMEG.106793@EMBUBUACU.SP.GOV.BR
JUVENAL COUTINHO ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA LUZ DA VIDA, 000120 - RUA;BAIRRO JUVENAL COUTINHO;6900;Urbana;(0) 0000000-0000;PMEG.277861@EMBUGUACU.SP.GOV.BR
LEONICE DE AQUINO OLIVEIRA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;RUA EGAS DOS SANTOS, 000120 - RUA;JD SAO PAULO;6900;Urbana;(011) 0004661-1101 / (011) 0004661-8472;E040708A@EDUCACAO.SP.GOV.BR
LEVI PEREIRA MARTINS PROFESSOR;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;ESTRADA DO BAYNGTON, 000155 - RUA;PENTEADO;6900;Urbana;(011) 0004665-1054 / (011) 0004665-1243;E914848A@EDUCACAO.SP.GOV.BR
LORIS NASSIF MATTAR PROFA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;ESTRADA MUNICIPAL BEASILIO VIEIRA, 000450 - RUA;CONGONHAL;6900;Urbana;(011) 0004661-2460 / (011) 0004661-8469;E902160A@EDUCACAO.SP.GOV.BR
LOURDES RASQUINHO ROSCHEL ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA HERMES DA FONSECA, 000058 - RUA;VILA SCHUNCK;6900;Urbana;(011) 0000000-0000 / (011) 0094180-1338;PMEG.643282@EMBUGUACU.SP.GOV.BR
LUIZ SCHUNCK;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;AVENIDA LUZA AUGUSTO CORREA, 001300 - RUA;CIPO;6900;Urbana;(011) 0004663-1014 / (011) 0004663-2853;E917084A@EDUCACAO.SP.GOV.BR
MADALENA BRANCA DOS SANTOS ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA DAS GOIABEIRAS, 000300 - RUA;VAL FLOR;6900;Urbana;(011) 0000000-0000 / (011) 0004663-7037;PMEG.075152@EMBUGUACU.SP.GOV.BR
MARIA ANDRE SCHUNCK DONA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;RUA JOSE NOGUEIRA, 000022 - RUA;CIPO GUACU;6900;Urbana;(011) 0004663-1202 / (011) 0004663-4026;E010273A@EDUCAAO.SP.GOV.BR
MARIA DOMINGUES DA SILVA ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA DOS CICLAMES COM A ESTRADA DA TIA ZULMIRA, 000048 - RUA;RECANTO DA LAGOA GRANDE;6900;Urbana;(011) 0000000-0000 / (011) 0004661-6959;PMEG.659800@EMBUGUACU.SP.GOV.BR
MARIO FRANCISCO DE AMORIM;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;RUA SOLDADO PACIFICO CARVALHO MACHADO, 000050;CHACARA FLORIDA;6900;Urbana;(011) 0004661-2614 / (011) 0004661-8836;E904181A@EDUCACAO.SP.GOV.BR
MOVIMENTO RENOVADOR PAULO VI LAR IRMA INES;PRIVADA - FILANTRÓPICA;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;RUA PRINCESA ISABEL, 000100 - RUA;CENTRO;6900;Urbana;(011) 0004661-1294 / (011) 0004661-6134;MOVIMENTORENOVADOR@MOVIMENTORENOVADOR.ORG.BR
NEIDE CELESTINA DE OLIVEIRA PROFA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;RSEBASTIAO PDE ANDRADE, 000091 - RUA;R LAGOA GRANDE;6900;Urbana;(011) 0004661-2560 / (011) 0004661-8491;E918817A@EDUCACAO.SP.GOV.BR
NOGUEIRA E SONHO DE CRIANCA COLEGIO;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;RUA CLOTILDE LOURO, 000074 - RUA;CENTRO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-3974;CONTATO@COLEGIONOGUEIRA.COM.BR
OLIVIA DE FARIA NOGUEIRA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;ROD JOSE SIMOES LOURO JR, 000046 - RUA;SANTA ISABEL;6900;Urbana;(011) 0004661-2619 / (011) 0004661-8490;E044878A@EDUCACAO.SP.GOV.BR
PASCHOAL CARLOS MAGNO;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;AV CEL LUIZ TENORIO BRITO, 001000 - RUA;CENTRO;6900;Urbana;(011) 0004661-1810 / (011) 0004661-8475;E010285A@EDUCACAO.SP.GOV.BR
PEDRO VILLAS BOAS DE SOUZA DOM;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;RUA JOAO RIBEIRO CRAVO ROXO, 00S/Nº - RUA;JARDIM CAMPESTRE;6900;Urbana;(011) 0004661-1926 / (011) 0004661-8470;E046541A@EDUCACAO.SP.GOV.BR
RAFAEL CAU PREFEITO ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ROD JOSE SIMOES LOURO JUNIOR, 0000SN - KM 39;SANTA ISABEL;6900;Urbana;(011) 0000000-0000 / (011) 0004661-2327;PMEG.465689@EMBUGUACU.SP.GOV.BR
RAISA CASOY ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA DEOCLECIANO DOS SANTOS, 000114 - RUA;CHACARA AVAI;6900;Urbana;(011) 0000000-0000 / (011) 0004663-1074;PMEG.075176@EMBUGUACU.SP.GOV.BR
RECANTO BETANIA CENTRO EDUCACIONAL;PRIVADA - FILANTRÓPICA;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;RODOVIA JOSE SIMOES LOURO JUNIOR, 003470 - RUA;ITARARE;6900;Rural;(011) 0000000-0000 / (011) 0004661-3028;CERB@RECANTOBETANIA.COM.BR
TIA LIGIA ESCOLA DE EDUCACAO INFANTIL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;RUA PRUDENTE DE MORAES, 000167 - RUA;CENTRO;6900;Urbana;(011) 0000000-0000 / (011) 0094725-7901;ESCOLATIALIGIA@HOTMAIL.COM
UNIAO ESCOLA DE ENSINO BASICO;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;RUA FRANCISCO VOLANTE, 000184 - RUA;JARDIM BRASIL;6900;Urbana;(011) 0000000-0000 / (011) 0004230-4546;ATENDIMENTOUNIAOESCOLA@UOL.COM.BR
