Nome_da_Escola;Tipo_de_Ensino;Municipio;Diretoria_de_Ensino;Rede_de_Ensino;Endereco_Completo;Bairro;CEP;ZONA;Telefones;Email;rua;numero;new_endereco
CHACARA FLORIDA II;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;RUA CAMINHO CELIO JOSE PAULO, 000090 - RUA;CHACARA FLORIDA 2;6900;Urbana;(011) 0004661-2735 / (011) 0004661-8684;E919007A@EDUCACAO.SP.GOV.BR;RUA CAMINHO CELIO JOSE PAULO;90;Rua Caminho Celio Jose Paulo, 90, Chacara Florida 2, Embu-Guaçu, São Paulo, Brazil
CLARA RODRIGUES ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA CHYOMATSU OTANI, 000115 - RUA;CHACARA FLORIDA I;6900;Urbana;(011) 0000000-0000 / (011) 0004661-3897;PMEG.075164@EMBUGUACU.SP.GOV.BR;RUA CHYOMATSU OTANI;115;Rua Chyomatsu Otani, 115, Chacara Florida I, Embu-Guaçu, São Paulo, Brazil
COLEGIO ALPHA;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;CARLOS SGARBI, 000468;VILA LOURO;6900;Urbana;(011) 0000000-0000 / (011) 0005555-0342;DIRETORIA@COLEGIOALPHA.COM;CARLOS SGARBI;468;Carlos Sgarbi, 468, Vila Louro, Embu-Guaçu, São Paulo, Brazil
DONIZETTI APARECIDO LEITE PROFESSOR;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;RUA JAVINA SCHUNCK, 000037 - RUA;CIPO GUACU;6900;Urbana;(011) 0004663-1203 / (011) 0004663-1648;E914782A@EDUCACAO.SP.GOV.BR;RUA JAVINA SCHUNCK;37;Rua Javina Schunck, 37, Cipo Guacu, Embu-Guaçu, São Paulo, Brazil
ELTON ROCUMBACK DOS SANTOS EM;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA SEZEFREDO KLEIN DOLL, 000415 - RUA;CENTRO;6900;Urbana;(011) 0000000-0000 / (011) 0004664-8791;PMEG.431278@EMBUGUACU.SP.GOV.BR;RUA SEZEFREDO KLEIN DOLL;415;Rua Sezefredo Klein Doll, 415, Centro, Embu-Guaçu, São Paulo, Brazil
ERIKA AZEVEDO VIEIRA REIS ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA WANDERLEI COSTA, 000090 - RUA;JARDIM SAO PAULO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-3827;PMEG.236263@EMBUGUACU.SP.GOV.BR;RUA WANDERLEI COSTA;90;Rua Wanderlei Costa, 90, Jardim Sao Paulo, Embu-Guaçu, São Paulo, Brazil
ESCOLA MUNICIPAL BAIRRO LAGOA GRANDE;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;LARGO AMANCIO MIGUEL, 0000SN - RUA;LAGOA GRANDE;6900;Urbana;(011) 0004664-5076 / (011) 0099684-9003;PMEG.301413@EMBUGUACU.SP.GOV.BR;LARGO AMANCIO MIGUEL;;
ESCOLA MUNICIPAL JOAO ALVES;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;AVENIDA SAN DIEGO, 000285 - RUA;CHACARAS CALIFORNIA;6900;Urbana;(011) 0000000-0000 / (011) 0004663-5507;PMEG.285754@EMBUGUACU.SP.GOV.BR;AVENIDA SAN DIEGO;285;Rua San Diego, 285, Chacaras California, Embu-Guaçu, São Paulo, Brazil
ESCOLA MUNICIPAL MAGDA POCHINI CAVINATI;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA ANGEL PARRA COLMENERO, 000203 - RUA;VILA CRISTINA;6900;Urbana;(011) 0000000-0000 / (011) 0004661-3781;PMEG.076405@EMBUGUACU.SP.GOV.BR;RUA ANGEL PARRA COLMENERO;203;Rua Angel Parra Colmenero, 203, Vila Cristina, Embu-Guaçu, São Paulo, Brazil
ESCOLA MUNICIPAL MARIA IGNEZ CONCELLES IRMA INES;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA OLIRIO MOREIRA, 000028 - RUA;XORORO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-8978;PMEG.664224@EMBUGUACU.SP.GOV.BR;RUA OLIRIO MOREIRA;28;Rua Olirio Moreira, 28, Xororo, Embu-Guaçu, São Paulo, Brazil
ESCOLA MUNICIPAL O PEQUENO PRINCIPE;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA ANTONIO CUNHA, 000109 - RUA;MARTINS FONTES;6900;Urbana;(011) 0000000-0000 / (011) 0004664-2621;PMEG.284973@EMBUGUACU.SP.GOV.BR;RUA ANTONIO CUNHA;109;Rua Antonio Cunha, 109, Martins Fontes, Embu-Guaçu, São Paulo, Brazil
ESCOLA MUNICIPAL PAIOL VELHO;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA DA DIVISA, 004755 - RUA;PAIOL VELHO;6900;Rural;(011) 0000000-0000 / (011) 0004664-8050;PMEG.664200@EMBUGUACU.SP.GOV.BR;ESTRADA DA DIVISA;4755;Estrada Da Divisa, 4755, Paiol Velho, Embu-Guaçu, São Paulo, Brazil
ESCOLA MUNICIPAL PEDRO ANTONIO DE ALMEIDA;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA BRASILIO VIEIRA, 000121 - RUA;SAPATEIRO;6900;Urbana;(011) 0000000-0000 / (011) 0004664-6074;PMEG.277859@EMBUGUACU.SP.GOV.BR;ESTRADA BRASILIO VIEIRA;121;Estrada Brasilio Vieira, 121, Sapateiro, Embu-Guaçu, São Paulo, Brazil
ESCOLA MUNICIPAL PROFESSOR WLADIMIR COSTA;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA ARLETE APARECIDA DE MORAES LOPES, 000220 - RUA;CENTRO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-3716;PMEG.107372@EMBUGUACU.SP.GOV.BR;RUA ARLETE APARECIDA DE MORAES LOPES;220;Rua Arlete Aparecida De Moraes Lopes, 220, Centro, Embu-Guaçu, São Paulo, Brazil
ESCOLA MUNICIPAL SITIO GERASSI;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA ANTONIO GERASSI, 002071 - RUA;SANTA FE;6900;Rural;(011) 0000000-0000 / (011) 0004664-6130;PMEG.428838@EMBUGUACU.SP.GOV.BR;ESTRADA ANTONIO GERASSI;2071;Estrada Antonio Gerassi, 2071, Santa Fe, Embu-Guaçu, São Paulo, Brazil
ESCOLA MUNICIPAL UNIAO DOS SABIAS;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA SANTIAGO PASCHOAL, 000060 - RUA;DISTRITO DE CIPO GUACU;6900;Urbana;(011) 0000000-0000 / (011) 0004663-1721;PMEG.282424@EMBUGUACU.SP.GOV.BR;RUA SANTIAGO PASCHOAL;60;Rua Santiago Paschoal, 60, Distrito De Cipo Guacu, Embu-Guaçu, São Paulo, Brazil
ESCOLA MUNICIPAL VILA NORGANG;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;SALVINO ANTONIO PIRES, 000691 - RUA;ALTO DO ITARARE;6900;Urbana;(011) 0000000-0000 / (011) 0099680-1638;PMEG.483011@EMBUGUACU.SP.GOV.BR;SALVINO ANTONIO PIRES;691;Salvino Antonio Pires, 691, Alto Do Itarare, Embu-Guaçu, São Paulo, Brazil
ESTHER APARECIDA RODRIGUES DOS SANTOS EM;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA TIRADENTES, 000182 - RUA;CENTRO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-4440;PMEG.431266@EMBUGUACU.SP.GOV.BR;RUA TIRADENTES;182;Rua Tiradentes, 182, Centro, Embu-Guaçu, São Paulo, Brazil
ETELVINA DELFIM SIMOES EM;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA DAVID FARAH, 000045 - RUA;VILA LOURO;6900;Urbana;(011) 0000000-0000 / (011) 0004662-5775;PMEG.206805@EMBUGUACU.SP.GOV.BR;RUA DAVID FARAH;45;Rua David Farah, 45, Vila Louro, Embu-Guaçu, São Paulo, Brazil
EURIDES JOSE AMORIM ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA CECILIA FREIBERGE MAIER, 000500 - RUA;CHACARA DOS AMIGOS;6900;Urbana;(011) 0000000-0000 / (011) 0004663-7676;PMEG.405413@EMBUGUACU.SP.GOV.BR;ESTRADA CECILIA FREIBERGE MAIER;500;Estrada Cecilia Freiberge Maier, 500, Chacara Dos Amigos, Embu-Guaçu, São Paulo, Brazil
FLORIZA JUSTA SCHUNCK ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA PADRE DONIZETE, 0000SN - RUA;JARDIM CAMPESTRE;6900;Urbana;(011) 0000000-0000 / (011) 0004663-1664;PMEG.285742@EMBUGUACU.SP.GOV.BR;RUA PADRE DONIZETE;;
FRANCISCO DE PAULA TEIXEIRA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;RUA SAO DANIEL, 000002 - RUA;JDPROGRESSO;6900;Urbana;(011) 0004661-2700 / (011) 0004661-8478;E912402A@EDUCACAO.SP.GOV.BR;RUA SAO DANIEL;2;Rua Sao Daniel, 2, Jdprogresso, Embu-Guaçu, São Paulo, Brazil
HELIO LUIZ DOBROCHINSKI PROF;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;AVENIDA HENRIQUE SCHUNCK, 000033 - RUA;CIPO;6900;Urbana;(011) 0004663-2514 / (011) 0004663-2964;E046536A@EDUCACAO.SP.GOV.BR;AVENIDA HENRIQUE SCHUNCK;33;Avenida Henrique Schunck, 33, Cipo, Embu-Guaçu, São Paulo, Brazil
IDALINA MACHADO DAS DORES ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA DE SANTA RITA KM 575 N, 057749 - RUA;PENTEADO;6900;Urbana;(011) 0000000-0000 / (011) 0004664-7564;PMEG.643312@EMBUGUACU.SP.GOV.BR;ESTRADA DE SANTA RITA KM 575 N;57749;Estrada De Santa Rita Km 575 N, 57749, Penteado, Embu-Guaçu, São Paulo, Brazil
JARDIM CAMPESTRE;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;RUA PADRE DONIZETI, 000765 - RUA;JARDIM CAMPESTRE;6900;Urbana;(011) 0004663-2030 / (011) 0004663-2444;E918830A@EDUCACAO.SP.GOV.BR;RUA PADRE DONIZETI;765;Rua Padre Donizeti, 765, Jardim Campestre, Embu-Guaçu, São Paulo, Brazil
JARDIM SILVANIA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;MAXIMILIANO PEREIRA, 000023;VILA DIRCE;6900;Urbana;(011) 0004663-1794 / (011) 0004663-2085;E920058A@EDUCACAO.SP.GOV.BR;MAXIMILIANO PEREIRA;23;Maximiliano Pereira, 23, Vila Dirce, Embu-Guaçu, São Paulo, Brazil
JOAO FRIAZA COLEGIO;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;RUA SAO BENEDITO, 000450 - RUA;VAL FLOR;6900;Urbana;(011) 0000000-0000 / (011) 0004662-1320;SECRETARIACOLEGIOFRIAZA2016@GMAIL.COM;RUA SAO BENEDITO;450;Rua Sao Benedito, 450, Val Flor, Embu-Guaçu, São Paulo, Brazil
JOAO GAVA ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA DA PAULISTINHA, 001450 - RUA;PAULISTINHA;6900;Rural;(011) 0000000-0000 / (011) 0004661-4006;PMEG.247236@EMBUGUACU.SP.GOV.BR;ESTRADA DA PAULISTINHA;1450;Estrada Da Paulistinha, 1450, Paulistinha, Embu-Guaçu, São Paulo, Brazil
JOAO ORTIZ RODRIGUES;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;ESTR DR ANDRE STUCCHI, 001900 - RUA;FILIPINHO;6900;Urbana;(011) 0004661-2475 / (011) 0004661-8476;E904193A@EDUCACAO.SP.GOV.BR;ESTR DR ANDRE STUCCHI;1900;Estr Dr Andre Stucchi, 1900, Filipinho, Embu-Guaçu, São Paulo, Brazil
JOAO PAULO II ESCOLA;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;DOM PEDRO II, 000184;CENTRO;6900;Urbana;(011) 0004661-2418 / (011) 0004661-3547;SECRETARIA@ESCOLAJOAOPAULO2.COM.BR;DOM PEDRO II;184;Dom Pedro Ii, 184, Centro, Embu-Guaçu, São Paulo, Brazil
JOAO XXIII SERVICO ASSISTENCIAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;PRACA HENRIQUE SCHUNCK, 000017 - RUA;CIPO;6900;Urbana;(011) 0000000-0000 / (011) 0004663-1399;;PRACA HENRIQUE SCHUNCK;17;Praca Henrique Schunck, 17, Cipo, Embu-Guaçu, São Paulo, Brazil
JOAQUIM MENDES FELIZ;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;RUA JOAO ANTONIO OLIVEIRA, 000315 - RUA;VAL FLOR;6900;Urbana;(011) 0004661-2819 / (011) 0004661-8471;E049086A@EDUCACAO.SP.GOV.BR;RUA JOAO ANTONIO OLIVEIRA;315;Rua Joao Antonio Oliveira, 315, Val Flor, Embu-Guaçu, São Paulo, Brazil
JONAS GOMES DE SOUZA ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA SILVESTRE DANTAS, 000138 - RUA;CIPO GUACU;6900;Urbana;(011) 0000000-0000 / (011) 0004664-8787;PMEG.106793@EMBUBUACU.SP.GOV.BR;RUA SILVESTRE DANTAS;138;Rua Silvestre Dantas, 138, Cipo Guacu, Embu-Guaçu, São Paulo, Brazil
JUVENAL COUTINHO ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA LUZ DA VIDA, 000120 - RUA;BAIRRO JUVENAL COUTINHO;6900;Urbana;(0) 0000000-0000;PMEG.277861@EMBUGUACU.SP.GOV.BR;ESTRADA LUZ DA VIDA;120;Estrada Luz Da Vida, 120, Bairro Juvenal Coutinho, Embu-Guaçu, São Paulo, Brazil
LEONICE DE AQUINO OLIVEIRA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;RUA EGAS DOS SANTOS, 000120 - RUA;JD SAO PAULO;6900;Urbana;(011) 0004661-1101 / (011) 0004661-8472;E040708A@EDUCACAO.SP.GOV.BR;RUA EGAS DOS SANTOS;120;Rua Egas Dos Santos, 120, Jd Sao Paulo, Embu-Guaçu, São Paulo, Brazil
LEVI PEREIRA MARTINS PROFESSOR;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;ESTRADA DO BAYNGTON, 000155 - RUA;PENTEADO;6900;Urbana;(011) 0004665-1054 / (011) 0004665-1243;E914848A@EDUCACAO.SP.GOV.BR;ESTRADA DO BAYNGTON;155;Estrada Do Bayngton, 155, Penteado, Embu-Guaçu, São Paulo, Brazil
LORIS NASSIF MATTAR PROFA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;ESTRADA MUNICIPAL BEASILIO VIEIRA, 000450 - RUA;CONGONHAL;6900;Urbana;(011) 0004661-2460 / (011) 0004661-8469;E902160A@EDUCACAO.SP.GOV.BR;ESTRADA MUNICIPAL BEASILIO VIEIRA;450;Estrada Municipal Beasilio Vieira, 450, Congonhal, Embu-Guaçu, São Paulo, Brazil
LOURDES RASQUINHO ROSCHEL ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA HERMES DA FONSECA, 000058 - RUA;VILA SCHUNCK;6900;Urbana;(011) 0000000-0000 / (011) 0094180-1338;PMEG.643282@EMBUGUACU.SP.GOV.BR;RUA HERMES DA FONSECA;58;Rua Hermes Da Fonseca, 58, Vila Schunck, Embu-Guaçu, São Paulo, Brazil
LUIZ SCHUNCK;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;AVENIDA LUZA AUGUSTO CORREA, 001300 - RUA;CIPO;6900;Urbana;(011) 0004663-1014 / (011) 0004663-2853;E917084A@EDUCACAO.SP.GOV.BR;AVENIDA LUZA AUGUSTO CORREA;1300;Avenida Luza Augusto Correa, 1300, Cipo, Embu-Guaçu, São Paulo, Brazil
MADALENA BRANCA DOS SANTOS ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA DAS GOIABEIRAS, 000300 - RUA;VAL FLOR;6900;Urbana;(011) 0000000-0000 / (011) 0004663-7037;PMEG.075152@EMBUGUACU.SP.GOV.BR;RUA DAS GOIABEIRAS;300;Rua Das Goiabeiras, 300, Val Flor, Embu-Guaçu, São Paulo, Brazil
MARIA ANDRE SCHUNCK DONA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;RUA JOSE NOGUEIRA, 000022 - RUA;CIPO GUACU;6900;Urbana;(011) 0004663-1202 / (011) 0004663-4026;E010273A@EDUCAAO.SP.GOV.BR;RUA JOSE NOGUEIRA;22;Rua Jose Nogueira, 22, Cipo Guacu, Embu-Guaçu, São Paulo, Brazil
MARIA DOMINGUES DA SILVA ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA DOS CICLAMES COM A ESTRADA DA TIA ZULMIRA, 000048 - RUA;RECANTO DA LAGOA GRANDE;6900;Urbana;(011) 0000000-0000 / (011) 0004661-6959;PMEG.659800@EMBUGUACU.SP.GOV.BR;RUA DOS CICLAMES COM A ESTRADA DA TIA ZULMIRA;48;Rua Dos Ciclames Com A Estrada Da Tia Zulmira, 48, Recanto Da Lagoa Grande, Embu-Guaçu, São Paulo, Brazil
MARIO FRANCISCO DE AMORIM;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;RUA SOLDADO PACIFICO CARVALHO MACHADO, 000050;CHACARA FLORIDA;6900;Urbana;(011) 0004661-2614 / (011) 0004661-8836;E904181A@EDUCACAO.SP.GOV.BR;RUA SOLDADO PACIFICO CARVALHO MACHADO;50;Rua Soldado Pacifico Carvalho Machado, 50, Chacara Florida, Embu-Guaçu, São Paulo, Brazil
MOVIMENTO RENOVADOR PAULO VI LAR IRMA INES;PRIVADA - FILANTRÓPICA;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;RUA PRINCESA ISABEL, 000100 - RUA;CENTRO;6900;Urbana;(011) 0004661-1294 / (011) 0004661-6134;MOVIMENTORENOVADOR@MOVIMENTORENOVADOR.ORG.BR;RUA PRINCESA ISABEL;100;Rua Princesa Isabel, 100, Centro, Embu-Guaçu, São Paulo, Brazil
NEIDE CELESTINA DE OLIVEIRA PROFA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;RSEBASTIAO PDE ANDRADE, 000091 - RUA;R LAGOA GRANDE;6900;Urbana;(011) 0004661-2560 / (011) 0004661-8491;E918817A@EDUCACAO.SP.GOV.BR;RSEBASTIAO PDE ANDRADE;91;Rsebastiao Pde Andrade, 91, R Lagoa Grande, Embu-Guaçu, São Paulo, Brazil
NOGUEIRA E SONHO DE CRIANCA COLEGIO;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;RUA CLOTILDE LOURO, 000074 - RUA;CENTRO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-3974;CONTATO@COLEGIONOGUEIRA.COM.BR;RUA CLOTILDE LOURO;74;Rua Clotilde Louro, 74, Centro, Embu-Guaçu, São Paulo, Brazil
OLIVIA DE FARIA NOGUEIRA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;ROD JOSE SIMOES LOURO JR, 000046 - RUA;SANTA ISABEL;6900;Urbana;(011) 0004661-2619 / (011) 0004661-8490;E044878A@EDUCACAO.SP.GOV.BR;ROD JOSE SIMOES LOURO JR;46;Rod Jose Simoes Louro Jr, 46, Santa Isabel, Embu-Guaçu, São Paulo, Brazil
PASCHOAL CARLOS MAGNO;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;AV CEL LUIZ TENORIO BRITO, 001000 - RUA;CENTRO;6900;Urbana;(011) 0004661-1810 / (011) 0004661-8475;E010285A@EDUCACAO.SP.GOV.BR;AV CEL LUIZ TENORIO BRITO;1000;Av Cel Luiz Tenorio Brito, 1000, Centro, Embu-Guaçu, São Paulo, Brazil
PEDRO VILLAS BOAS DE SOUZA DOM;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;RUA JOAO RIBEIRO CRAVO ROXO, 00S/Nº - RUA;JARDIM CAMPESTRE;6900;Urbana;(011) 0004661-1926 / (011) 0004661-8470;E046541A@EDUCACAO.SP.GOV.BR;RUA JOAO RIBEIRO CRAVO ROXO;;
RAFAEL CAU PREFEITO ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ROD JOSE SIMOES LOURO JUNIOR, 0000SN - KM 39;SANTA ISABEL;6900;Urbana;(011) 0000000-0000 / (011) 0004661-2327;PMEG.465689@EMBUGUACU.SP.GOV.BR;ROD JOSE SIMOES LOURO JUNIOR;;
RAISA CASOY ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA DEOCLECIANO DOS SANTOS, 000114 - RUA;CHACARA AVAI;6900;Urbana;(011) 0000000-0000 / (011) 0004663-1074;PMEG.075176@EMBUGUACU.SP.GOV.BR;RUA DEOCLECIANO DOS SANTOS;114;Rua Deocleciano dos Santos, 114 - Lot. Chacaras Avai, Embu-Guaçu - SP, 06900-000
